MelingoId,Pos,Entry,TranslationFull,TranslationFlash,CorrectAns,CorrectAns2,CorrectAns3,Distractor1,Distractor2,Distractor3,DistractorEN1,DistractorEN2,DistractorEN3,UsageNote,Succeed,Failed,PronunciationFile,ImageFile,ManualEdit,LastUpadte,UsageNodeType,,,,,,,,,,,,
9614,0,bleachers,gradas, tribuna descubierta,,gradas,,,gradación,gradería,gradiente,,,,,,,,,,,3,,,,,,,,,,,
9616,6,bleak,inhóspito, sombrío, desolado; deprimente, triste, sombrío,,inhóspito,,,inmóvil,injusto,inhábil,,,,,,,1,,,,3,,,,,,,,
9620,10,bleakly,sombríamente,,sombríamente,,,solamente,sumamente,seguro,,,,,,,,,,,3,,,,,,,,,,,,
9621,6,blear,empañado, nublado,,empañado,,,español,espinal,estatal,,,,,,,1,,,,3,,,,,,,,,,,
9622,6,bleary,adormilado, fatigado,,adormilado,,,adorable,anormal,adorador,,,,,,,1,,,,3,,,,,,,,,,,
9624,6,bleary-eyed,con los ojos nublados,,con los ojos nublados,,,conflictivo,conglomerado,conquistador,,,,,,,1,,,,3,,,,,,,,,,,,
9625,1,bleat,balido,,balido,,,batido,batidor,bólido,,,,,,,1,,,,3,,,,,,,,,,,,
9628,8,bleed,sangrar; sangrar (a una persona); exudar (dícese de una planta), correrse (dícese de los colores),,sangrar,,essential verbs,desgarrar,gritar,habitar,,,,,,,1,,,20:27.0,3,,,,,,,,,,,
9630,6,bleeding,sangrante~ sangrante, sangriento,,sangrante~ sangrante,,,sangrante,sangriento,sanguíneo,,,,,,,1,,,,3,,,,,,,,,,,
9637,1,blemish,imperfección, mancha, marca,,imperfección,,advanced nouns,bienestar,carencia,importe,,,,,,,1,,,49:36.1,3,,,,,,,,,,
9640,1,blend,mezcla, combinación,,mezcla,,,marcha,mancha,medalla,,,,,,,1,,,,3,,,,,,,,,,,
9645,1,blender,licuadora,,licuadora,,at the kitchen,mantel,tenedor,cuchara,,,,,,,1,                              ,,18:08.4,3,,,,,,,,,,,,
9654,8,bless,bendecir, consagrar; bendecir,,bendecir,,,bordear,tender,vender,,,,,,,1,,,,3,,,,,,,,,,,
9655,6,blessed,bienaventurado, bendito, dichoso,,bienaventurado,,,bailarín,bianual,bueno,,,,,,,1,,,,3,,,,,,,,,,
9659,1,blessing,bendición; aprobación, consentimiento,,bendición,,,rendición,condición,dentición,,,,,,,,,,,3,,,,,,,,,,,
9665,1,blight,añublo; peste, plaga; deterioro, ruina,,deterioro,,,restauración,disfraz,brillo,,,,,,,1,,,43:58.4,3,,,,,,,,,,
9671,1,blimp,dirigible,,dirigible,,,delirio,dominio,déficit,,,,,,,1,,,,3,,,,,,,,,,,,
9672,6,blind,ciego; ciego, insensible, sin razón; sin salida,,ciego,,,rubio,sordo,calvo,,,,,,,1,,,32:15.8,3,,,,,,,,,,
9676,0,blind alley,callejón sin salida,,callejón sin salida,,,campesino,calcetería,calcomanía,,,,,,,,,,,3,,,,,,,,,,,,
9677,0,blind date,cita a ciegas,,cita a ciegas,,,circulación,constancia,calefacción,,,,,,,,,,,3,,,,,,,,,,,,
9690,1,blindfold,venda (para los ojos),,venda,,,vendaje,vendaval,vendedor,,,,,,,1,,,,3,,,,,,,,,,,,
9693,6,blinding,enceguecedor, cegador,,enceguecedor,,,enclenque,encogido,endeble,,,,,,,,,,,3,,,,,,,,,,,
9695,10,blindly,a ciegas, ciegamente,,a ciegas,,,arriba,ahorita,aprisa,,,,,,,,,,42:42.6,3,,,,,,,,,,,
9699,1,blindness,ceguera,,ceguera,,,cantera,carrera,cartera,,,,,,,,,,,3,,,,,,,,,,,,
9703,1,blink,pestañeo, parpadeo,,pestañeo,,,pestaña,pesebre,pasta,,,,,,,1,,,,3,,,,,,,,,,,
9705,1,blinker,intermitente, direccional,,intermitente,,,intención,interior,interés,,,,,,,1,,,,3,,,,,,,,,,,
9706,6,blinkered,de miras estrechas,,de miras estrechas,,,denigrante,deplorable,deprimente,,,,,,,1,,,,3,,,,,,,,,,,,
9709,1,bliss,dicha, felicidad absoluta; paraíso,,dicha,,,dechado,dicho,ducha,,,,,,,1,,,,3,,,,,,,,,,,
9711,6,blissful,dichoso, feliz,,dichoso,,,diverso,deseoso,disuasorio,,,,,,,1,,,,3,,,,,,,,,,,
9713,1,blister,ampolla (en la piel o una superficie), burbuja (en una superficie),,ampolla,,health,víscera,extremidad,vendaje,,,,,,,1,                              ,,46:42.5,3,,,,,,,,,,,
9716,0,blister pack,empaque blíster, tipo burbuja, termoformado,,empaque blíster,,,empanadilla,empalizada,emparedado,,,,,,,,,,,3,,,,,,,,,,
9717,6,blistering,(calor) abrasador, quemante, ardiente; (figurado) feroz, violento, despiadado; (figurado) veloz,,abrasador,,,opresor,genial,responsable,,,,,,,,,,46:27.9,0,,,,,,,,
9718,6,blithe,despreocupado; alegre, risueño,,despreocupado,,human adjectives,enojado,envenenado,desnudo,,,,,,,1,                              ,,17:41.5,3,,,,,,,,,,,
9723,1,blitz,bombardeo aéreo; ataque, acometida,,bombardeo aéreo,,,bomba,bombero,bombo,,,,,,,1,,,,3,,,,,,,,,,,
9728,1,blizzard,tormenta de nieve, ventisca,,ventisca,,weather,lluvia,granizo,torrente,,,,,,,1,                              ,,05:55.0,3,,,,,,,,,,,
9731,1,bloat,hinchazón,,hinchazón,,,distracción,pensión,tensión,,,,,,,,,,22:02.7,2,,,,,,,,,,,,
9736,1,blob,amasijo; gota, mancha, borrón,,gota,,,goma,goteo,gotera,,,,,,,/GetSoundByMelingoID/9736,,,00:45.5,3,,,,,,,,,,
9738,1,bloc,bloque,,bloque,,,bosque,bronce,choque,,,,,,,1,,,,3,,,,,,,,,,,,
9740,1,block,bloque; obstrucción, bloqueo; cuadra, manzana (de edificios); edificio (de apartamentos, oficinas, etc.); serie, grupo,,bloque,,,bloqueo,bouquet,búnquer,,,,,,,1,,,,3,,,,,,,
9742,0,block and tackle,aparejo de poleas,,aparejo de poleas,,,alambre de puas,apartado postal,apretón de manos,,,,,,,,,,,3,,,,,,,,,,,,
9748,8,block off,ignorar; bloquear,,bloquear,,,cloquear,broncearse,flaquear,,,,,,,,,,,3,,,,,,,,,,,,
9754,1,blockade,bloqueo,,bloqueo,,,bloque,broqueta,briqueta,,,,,,,1,,,,3,,,,,,,,,,,,
9757,1,blockage,bloqueo, obstrucción,,bloqueo,,,bloque,broqueta,briqueta,,,,,,,1,,,,3,,,,,,,,,,,
9758,1,blockbuster,éxito (en ventas, con el público),,éxito,,,editorial,exploración,explosión,,,,,,,1,,,,3,,,,,,,,,,,
9760,1,blocker,bloqueador,,bloqueador,,,bloque,bloqueo,bronceado,,,,,,,,,,,3,,,,,,,,,,,,
9761,1,blockhead,bruto, -ta; estupido, -da,,bruto,,,brutalidad,brócoli,brujería,,,,,,,1,,,,3,,,,,,,,,,
9765,6,blond,rubio, güero, claro (dícese de la madera),,rubio,,,rabioso,recio,regio,,,,,,,1,,,,3,,,,,,,,,,
9767,6,blonde,rubia, güera (fem.),,rubia,,,radiante,rabioso,racial,,,,,,,,,,,3,,,,,,,,,,,
9771,1,blood,sangre; vida, alma; linaje, sangre,,sangre,,human body,riñón,hígado,estómago,,,,,,,1,                              ,,38:22.7,3,,,,,,,,,,
9773,0,blood bank,banco de sangre,,banco de sangre,,,bandolerismo,bandolero,bancarrota,,,,,,,,,,,3,,,,,,,,,,,,
9775,0,blood clot,coágulo de sangre,,coágulo de sangre,,,contraorden,convulsión,corpulencia,,,,,,,,,,,3,,,,,,,,,,,,
9780,0,blood fluke,esquistosoma,,esquistosoma,,,esquiador,esquinazo,esquizofrenia,,,,,,,,,,,3,,,,,,,,,,,,
9781,0,blood group,grupo sanguíneo,,grupo sanguíneo,,,guachinango,guardafangos,grabación,,,,,,,,,,,3,,,,,,,,,,,,
9787,0,blood pressure,tensión, presión (arterial),,tensión,,,tensión arterial,sensibilidad,trascendencia,,,,,,,,,,,3,,,,,,,,,,,
9796,0,blood vessel,vaso sanguíneo,,vaso sanguíneo,,,valoración,camposanto,vacacionista,,,,,,,,,,,3,,,,,,,,,,,,
9797,1,bloodbath,matanza, carnicería; (figurado) baño de sangre,,matanza,,,victoria,comida,derrota,,,,,,,,,,39:39.5,2,,,,,,,,,,,
9798,6,bloodcurdling,espeluznante, aterrador,,espeluznante,,,determinante,especulativo,esperanzado,,,,,,,1,,,,3,,,,,,,,,,,
9799,6,blooded,de sangre,,de sangre,,,delantero,delgado,denso,,,,,,,1,,,,3,,,,,,,,,,,,
9801,1,bloodhound,sabueso,,sabueso,,,sobresalto,saqueador,secuestrador,,,,,,,1,,,,3,,,,,,,,,,,,
9805,6,bloodless,incruento, sin derramamiento de sangre; desanimado, insípido, sin vida,,incruento,,,incidental,incitante,incesante,,,,,,,1,,,,3,,,,,,,,,
9809,1,bloodline,linaje, genealogía, estirpe,,genealogía,,,sangre,línea,pasado,,,,,,,,,,31:29.3,2,,,,,,,,,,
9811,1,bloodshed,derramamiento de sangre,,derramamiento de sangre,,,degradación,depravación,deformación,,,,,,,1,,,,3,,,,,,,,,,,,
9812,6,bloodshot,inyectado de sangre,,inyectado de sangre,,,inyectado,intestado,infecundo,,,,,,,1,,,,3,,,,,,,,,,,,
9813,1,bloodstain,mancha de sangre,,mancha de sangre,,,linchamiento,malcriado,mancomunidad,,,,,,,1,,,,3,,,,,,,,,,,,
9815,1,bloodstream,torrente sanguíneo, corriente sanguínea,,torrente sanguíneo,,,corresponsal,corruptela,correccional,,,,,,,1,,,,3,,,,,,,,,,,
9816,1,bloodsucker,sanguijuela,,sanguijuela,,,singularidad,hamburguesa,languidez,,,,,,,1,,,,3,,,,,,,,,,,,
9818,6,bloodthirsty,sanguinario,,sanguinario,,,minoritario,parasitario,sangriento,,,,,,,1,,,,3,,,,,,,,,,,,
9820,6,bloody,ensangrentado, sangriento; (británico, argot) maldito, condenado,,ensangrentado,,,ecuánime,ecuestre,encarado,,,,,,,/GetSoundByMelingoID/9820,,,22:33.1,3,,,,,,,,,
9825,1,bloom,flor; floración; rubor (de la tez),,flor,,,flora,floreo,florero,,,,,,,1,,,,3,,,,,,,,,,,,
9828,1,bloomers,bombachos,,bombachos,,,borracho,bombardeo,bombardero,,,,,,,,,,,3,,,,,,,,,,,,
9830,6,blooming,florido, floreciente; juvenil,,florido,,,flácido,fallido,férrico,,,,,,,/b/bloomi01.mp3               ,,,21/09/2016 0:00,3,,,,,,,,,,,
9833,1,blooper,metedura de pata,,metedura de pata,,slang,humo,bulo,soplo,,,,,,,1,                              ,,58:18.7,3,,,,,,,,,,,,
9835,1,blossom,flor,,flor,,,flora,floración,floreo,,,,,,,1,,,,3,,,,,,,,,,,,
9837,1,blot,mancha, borrón; mancha, tacha,,mancha,,,marcha,manera,cancha,,,,,,,1,,,,3,,,,,,,,,,
9840,1,blotch,mancha, borrón,,mancha,,,marcha,manera,cancha,,,,,,,1,,,,3,,,,,,,,,,,
9842,6,blotchy,lleno de manchas,,lleno de manchas,,,lleno,llano,llenito,,,,,,,,,,,3,,,,,,,,,,,,
9843,1,blotter,hoja de papel secante, secante,,hoja de papel secante,,,hojaldra,hojaldre,hojarasca,,,,,,,1,,,,3,,,,,,,,,,,
9847,1,blouse,blusa,,blusa,,clothing,vestido,bufanda,chaqueta,,,,,,,1,                              ,,54:41.3,3,,,,,,,,,,,,
9850,1,blow,soplo, soplido; vendaval; golpe; golpe, desastre,,soplo,,,soplón,sello,siglo,,,,,,,1,,,,3,,,,,,,,,,
9855,8,blow a person's mind,(figurado) maravillar, impresionar (a alguien),,maravillar,,,romper,vendar,aterrar,,,,,,,,,,42:44.4,2,,,,,,,,,,,
9856,8,blow away,maravillar, dejar sin aliento,,maravillar,,,matasellar,martirizar,matricular,,,,,,,,,,,3,,,,,,,,,,,
9861,8,blow off,dejar plantado (a alguien), flatar a (una cita, etc.),,dejar plantado,,,dejar de,dejarse,dejarse ir,,,,,,,,,,,3,,,,,,,,,,
9865,8,blow one's top,(figurado) perder los estribos,,perder los estribos,,,dinamitar,empezar desde cero,pasar al otro lado,,,,,,,,,,01:49.1,0,,,,,,,,,,,,
9866,8,blow out,fundirse (dícese de un fusible eléctrico), reventarse (dícese de una llanta),,fundirse,,,fundir,hundirse,rendirse,,,,,,,,,,,3,,,,,,,,,,,
9868,8,blow the whistle on,(informal) revelar (un plan, un crimen),,revelar,,,relegar al olvido,devanarse los sesos,refrescar la memoria,,,,,,,,,,34:05.5,3,,,,,,,,,,,
9869,8,blow up,volar, hacer volar; estallar, hacer explosión,,estallar,,phrasal verbs,criticar,entablar,llevarse,,,,,,,1,                              ,,01:13.1,3,,,,,,,,,,
9876,1,blower,ventilador,,ventilador,,,ventaja,ventana,ventanal,,,,,,,1,,,,3,,,,,,,,,,,,
9884,6,blown,(vidrio) soplado; estropeado,,soplado,,,estelar,escolar,estatal,,,,,,,/b/blown001.mp3               ,,,21/09/2016 0:00,3,,,,,,,,,,,,
9886,1,blowout,reventón,,reventón,,,reventa,recesión,revisión,,,,,,,1,,,,3,,,,,,,,,,,,
9889,1,blowtorch,soplete,,soplete,,,soporte,sorbete,suplemento,,,,,,,1,,,,3,,,,,,,,,,,,
9895,1,blubber,esperma de ballena,,esperma de ballena,,,esperma,espárrago,especia,,,,,,,1,,,,3,,,,,,,,,,,,
9899,8,bludgeon,aporrear,,aporrear,,advanced verbs,cortar,pegar,azotar,,,,,,,1,                              ,,41:15.8,3,,,,,,,,,,,,
9900,6,blue,azul; melancólico, triste,,azul,,colors,negro,rojo,gris,,,,,,,/GetSoundByMelingoID/9900,                              ,,40:10.9,2,,,,,,,,,,,
9906,0,blue cheese,queso azul,,queso azul,,,queroseno,quesadilla,quiromancia,,,,,,,,,,,3,,,,,,,,,,,,
9931,0,blue ribbon,de primera, de élite, selecto,,de primera,,,desproporción,desprestigio,desventura,,,,,,,,,,,3,,,,,,,,,,
9940,1,blue whale,ballena azul,,ballena azul,,,trucha azul,delfín azul,tiburón azul,,,,,,,,,,00:39.0,2,,,,,,,,,,,,
9948,1,blueberry,arándano,,arándano,,,frambuesa,mora,fresa,,,,,,,1,,,32:14.7,3,,,,,,,,,,,,
9950,1,bluebird,azulejo,,azulejo,,,amuleto,azulete,azucena,,,,,,,1,,,,3,,,,,,,,,,,,
9961,1,bluefish,anjora,,anjora,,,angora,antera,antorcha,,,,,,,1,,,,3,,,,,,,,,,,,
9975,1,blueprint,plano, proyecto, cianotipo; anteproyecto, programa,,plano,,,planeta,plancha,planchada,,,,,,,1,,,,3,,,,,,,,,
9979,1,blues,depresión, melancolía; blues,,depresión,,,decreto,represa,dentera,,,,,,,1,,,,3,,,,,,,,,,,
9994,6,bluff,escarpado; campechano, franco, directo,,escarpado,,,escaso,escocés,escueto,,,,,,,1,,,,3,,,,,,,,,,
9997,1,bluffer,farolero; blofeador, farolero; blofeadora,,farolero; blofeador,,,farolero,farol,farola,,,,,,,,,,,3,,,,,,,,,,,
9998,1,bluing,añil, azulete,,añil,,,anillo,asilo,atilana,,,,,,,1,,,,3,,,,,,,,,,,
9999,6,bluish,azulado,,azulado,,,adulador,acusado,abusado,,,,,,,1,,,,3,,,,,,,,,,,,
10002,1,blunder,error, fallo garrafal, metedura de pata,,error,,advanced nouns,entorno,emporio,engorro,,,,,,,1,                              ,,42:38.8,3,,,,,,,,,,
10004,1,blunderbuss,trabuco,,trabuco,,,traducción,traductor,tradición,,,,,,,1,,,,3,,,,,,,,,,,,
10008,6,blunt,desafilado, despuntado; directo, franco, categórico,,desafilado,,,desleal,disímil,deseoso,,,,,,,1,,,,3,,,,,,,,,
10013,10,bluntly,sin rodeos, francamente,bruscamente,,sin rodeos,,,seguro,siquiera,dentro,,,,,,,,,,,3,,,,,,,,,,
10014,1,bluntness,falta de filo, embotadura; franqueza,,falta de filo,,,fantasma,fantasía,farsante,,,,,,,,,,,3,,,,,,,,,,,
10015,1,blur,mancha, borrón; aspecto borroso,,mancha,,,marcha,manera,cancha,,,,,,,1,,,,3,,,,,,,,,,,
10017,1,blurb,propaganda, nota publicitaria,,propaganda,,,propano,propina,profano,,,,,,,1,,,,3,,,,,,,,,,,
10018,8,blurt,espetar, decir impulsivamente,,espetar,,,esperar,espesar,esputar,,,,,,,1,,,,3,,,,,,,,,,,
10019,1,blush,rubor, sonrojo,,rubor,,,rumor,reborde,ruso,,,,,,,1,,,,3,,,,,,,,,,,
10024,1,bluster,fanfarronada, bravatas,,fanfarronada,,,fanfarrón,fanfarria,fandango,,,,,,,1,,,,3,,,,,,,,,,,
10027,6,blustery,borrascoso, tempestuoso,,borrascoso,,,borracho,bochornoso,borroso,,,,,,,,,,,3,,,,,,,,,,,
10030,1,BMI,índice de masa corporal (Body Mass Index),,índice de masa corporal,,,índice de masa atómica,índice de masa espacial,índice de masa eterea,,,,,,,,,,52:11.6,2,,,,,,,,,,,,
10033,1,bn.,billón; barón; batallón; faro; licenciatura en ingeniería naval; baliza,,billón,,,balón,bote,bellota,,,,,,,,,,11:31.3,2,,,,,,,,,,,,
10038,1,boa,boa,,boa,,,boato,boga,boina,,,,,,,1,,,,3,,,,,,,,,,,,
10040,1,boar,cerdo macho, verraco,,cerdo macho,,,cerdo,cerro,cerco,,,,,,,1,,,,3,,,,,,,,,,,
10041,1,board,tabla, tablón; tablero; comida; junta, consejo,,tabla,,,estantería,sillón,clavo,,,,,,,1,,,29:32.9,3,,,,,,,,,,
10046,0,board game,juego de mesa,,juego de mesa,,,judía verde,adenoides,jengibre,,,,,,,,,,,3,,,,,,,,,,,,
10051,1,boarder,huésped, -peda,,huésped,,,huestes,humareda,huérfano,,,,,,,1,,,,3,,,,,,,,,,,
10052,1,boarding,embarque,,embarque,,,embalaje,embarco,embargo,,,,,,,,,,,3,,,,,,,,,,,,
10053,8,boarding house,casa de huéspedes,,casa de huéspedes,,,casa de policía,casa de políticos,casa de muebles,,,,,,,,,,56:10.2,0,,,,,,,,,,,,
10055,1,boarding school,internado,,internado,,,internacionalismo,interpelación,interrelación,,,,,,,,,,,3,,,,,,,,,,,,
10058,1,boardroom,sala de juntas,,sala de juntas,,,salario,sabandija,salamandra,,,,,,,1,,,,3,,,,,,,,,,,,
10060,1,boardwalk,paseo marítimo; pasarela, pasadera; ,,paseo marítimo,,,panorama,pasividad,palestra,,,,,,,/GetSoundByMelingoID/10060,,,40:22.5,3,,,,,,,,,,,
10062,1,boast,jactancia, alarde,,jactancia,,,jardín,jaula,junta,,,,,,,1,,,,3,,,,,,,,,,,
10064,1,boaster,presumido, -da; fanfarrón, -rrona,,presumido,,,prestigio,predicado,prejuicio,,,,,,,,,,,3,,,,,,,,,,
10065,6,boastful,jactancioso, fanfarrón,,jactancioso,,,pantanoso,sustancial,rechoncho,,,,,,,,,,,3,,,,,,,,,,,
10066,10,boastfully,de manera jactanciosa,,de manera jactanciosa,,,de antemano,de marras,delante de,,,,,,,,,,,3,,,,,,,,,,,,
10067,1,boat,barco, embarcación, bote, barca,,barco,,transportation,camión,avión,moto,,,,,,,1,                              ,,46:34.8,3,,,,,,,,,
10081,1,boatman,barquero,,barquero,,,banquero,bananero,banqueta,,,,,,,1,,,,3,,,,,,,,,,,,
10083,1,boatswain,contramaestre,,contramaestre,,,contramano,contraparte,contrabajo,,,,,,,1,,,,3,,,,,,,,,,,,
10085,1,bob,inclinación (de la cabeza, del cuerpo), sacudida; flotador, corcho (de pesca); pelo corto,,inclinación,,,ingle,india,indio,,,,,,,1,,,,3,,,,,,,,,
10090,1,bobbin,bobina, carrete,,bobina,,,bocina,bocinazo,bobada,,,,,,,1,,,,3,,,,,,,,,,,
10097,1,bobby,(argot, británico) policía, guardia,,policía,,,público,réplica,súplica,,,,,,,/b/bobby001.mp3               ,,,21/09/2016 0:00,3,,,,,,,,,,
10098,0,bobby pin,horquilla,,horquilla,,,cosquillas,rosquilla,cosquilleo,,,,,,,,,,,3,,,,,,,,,,,,
10101,1,bobcat,lince rojo,,lince rojo,,,lince,linterna,linde,,,,,,,1,,,,3,,,,,,,,,,,,
10102,1,bobolink,tordo arrocero,,tordo arrocero,,,territorio,terrorismo,torpeza,,,,,,,1,,,,3,,,,,,,,,,,,
10103,1,bobsled,bobsleigh,,bobsleigh,,,boiserie,bocallave,blasfemia,,,,,,,1,,,,3,,,,,,,,,,,,
10109,1,bobwhite,codorniz (del Nuevo Mundo),,codorniz,,,cobertizo,cocodrilo,cochinillo,,,,,,,1,,,,3,,,,,,,,,,,,
10116,8,bode,presagiar, augurar,,presagiar,,,preñar,prever,privar,,,,,,,1,,,,3,,,,,,,,,,,
10121,1,bodice,corpiño,,corpiño,,,corrido,cortijo,cortador,,,,,,,1,,,,3,,,,,,,,,,,,
10122,6,bodied,de cuerpo,,de cuerpo,,,de nuevo,de lleno,desnudo,,,,,,,1,,,,3,,,,,,,,,,,,
10123,6,bodiless,incorpóreo,,incorpóreo,,,incompleto,incorrecto,incumplido,,,,,,,1,,,,3,,,,,,,,,,,,
10124,6,bodily,corporal, del cuerpo,,corporal,,,cerebral,corpóreo,corvo,,,,,,,1,,,,3,,,,,,,,,,,
10127,1,body,cuerpo, organismo; cadáver; persona, ser humano; nave (de una iglesia), carrocería (de un automóvil), fuselaje (de un avión), casco (de una nave); conjunto, grupo, masa; organismo, organización,,cuerpo,,human body,mano,cuello,dedo,,,,,,,1,                              ,,38:16.1,3,,,,
10159,1,bodyguard,guardaespaldas,,guardaespaldas,,,guardameta,guardapelo,guardapolvo,,,,,,,1,,,,3,,,,,,,,,,,,
10171,1,bog,lodazal, ciénaga, cenagal,,lodazal,,,local,lodo,lona,,,,,,,1,,,,3,,,,,,,,,,
10178,1,bogey,terror, coco,,terror,,,ternura,terraza,tarro,,,,,,,1,,,,3,,,,,,,,,,,
10183,8,boggle,quedarse atónito, quedarse pasmado,,quedarse atónito,,,quedarse,quejarse,quitarse,,,,,,,1,,,,3,,,,,,,,,,,
10185,6,boggy,cenagoso,,cenagoso,,,cegador,cegatón,ceñido,,,,,,,,,,,3,,,,,,,,,,,,
10187,2,Bogota,Bogotá,,Bogotá,,,bogotano,bigote,bono,,,,,,,1,,,,3,,,,,,,,,,,,
10190,6,bogus,falso, fingido, falaz,,falso,,,falto,fatuo,falaz,,,,,,,1,,,,3,,,,,,,,,,
10195,1,bohemian,bohemio, -mia,,bohemio,,,binomio,boxeador,botánica,,,,,,,1,,,,3,,,,,,,,,,,
10200,1,boil,hervor; furunculo, divieso (en medicina),,hervor,,,horror,fervor,helio,,,,,,,1,,,,3,,,,,,,,,,,
10204,8,boil down to,(figurado) reducirse a,,reducirse a ,,expressions,dar carpetazo,decidir que,resultar de,,,,,,,/GetSoundByMelingoID/10204,                              ,,52:00.2,3,,,,,,,,,,,,
10207,1,boiler,caldera,,caldera,,,cantera,cardenal,carrera,,,,,,,1,,,,3,,,,,,,,,,,,
10214,6,boiling,hirviendo, que hierve,,hirviendo,,,helado,cocinado,crudo,,,,,,,1,,,31:09.4,3,,,,,,,,,,,
10217,6,boisterous,bullicioso, escandaloso,,escandaloso,,adjectives,discreto,abarrotado,espectacular,,,,,,,1,                              ,,30:47.2,3,,,,,,,,,,,
10222,6,bold,valiente; insolente, descarado; atrevido, audaz,,atrevido,,emotions,miedoso,calvo,rápido,,,,,,,1,                              ,,53:47.0,3,,,,,,,,,,
10229,1,boldface,negrita,,negrita,,,negrura,neuritis,negociador,,,,,,,1,,,,3,,,,,,,,,,,,
